"_time","len0 speed1 Šmeralova.IN","len0 speed2 Šmeralova.IN","len0 speed3 Šmeralova.IN","len1 speed1 Šmeralova.IN","len1 speed2 Šmeralova.IN","len1 speed3 Šmeralova.IN","len2 speed1 Šmeralova.IN","len2 speed2 Šmeralova.IN","len2 speed3 Šmeralova.IN","len3 Šmeralova.IN","len0 speed1 Šmeralova3.OUT","len0 speed2 Šmeralova3.OUT","len0 speed3 Šmeralova3.OUT","len1 speed1 Šmeralova3.OUT","len1 speed2 Šmeralova3.OUT","len1 speed3 Šmeralova3.OUT","len2 speed1 Šmeralova3.OUT","len2 speed2 Šmeralova3.OUT","len2 speed3 Šmeralova3.OUT","len3 Šmeralova3.OUT","len0 speed1 Šmeralova.OUT","len0 speed2 Šmeralova.OUT","len0 speed3 Šmeralova.OUT","len1 speed1 Šmeralova.OUT","len1 speed2 Šmeralova.OUT","len1 speed3 Šmeralova.OUT","len2 speed1 Šmeralova.OUT","len2 speed2 Šmeralova.OUT","len2 speed3 Šmeralova.OUT","len3 Šmeralova.OUT","len0 speed1 Šmeralova2.OUT","len0 speed2 Šmeralova2.OUT","len0 speed3 Šmeralova2.OUT","len1 speed1 Šmeralova2.OUT","len1 speed2 Šmeralova2.OUT","len1 speed3 Šmeralova2.OUT","len2 speed1 Šmeralova2.OUT","len2 speed2 Šmeralova2.OUT","len2 speed3 Šmeralova2.OUT","len3 Šmeralova2.OUT"
"10/28/2024, 01:00:00 AM",,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10/28/2024, 02:00:00 AM",,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"10/28/2024, 03:00:00 AM",1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"10/28/2024, 04:00:00 AM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"10/28/2024, 05:00:00 AM",1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,
"10/28/2024, 06:00:00 AM",2,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0
"10/28/2024, 07:00:00 AM",2,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0
"10/28/2024, 08:00:00 AM",1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,0,0,1
"10/28/2024, 09:00:00 AM",10,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,7,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0
"10/28/2024, 10:00:00 AM",16,1,0,1,0,0,0,0,0,4,,,,,,,,,,,5,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
"10/28/2024, 11:00:00 AM",11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,2
"10/28/2024, 12:00:00 PM",16,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,0,0
"10/28/2024, 01:00:00 PM",10,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0
"10/28/2024, 02:00:00 PM",20,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,13,0,0,1,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
"10/28/2024, 03:00:00 PM",25,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,2,7,0,0,1,0,0,0,0,0,4,10,0,0,1,0,0,0,0,0,0
"10/28/2024, 04:00:00 PM",19,0,0,1,0,0,0,0,0,4,,,,,,,,,,,7,0,0,0,0,0,0,0,0,4,8,0,0,2,0,0,0,0,0,1
"10/28/2024, 05:00:00 PM",36,2,0,2,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,0,0,0,0
"10/28/2024, 06:00:00 PM",35,0,0,2,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,4,15,0,0,1,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0
"10/28/2024, 07:00:00 PM",19,0,0,2,0,0,0,0,0,4,2,0,0,3,0,0,0,0,0,2,4,0,0,2,0,0,0,0,0,6,11,0,0,1,0,0,0,0,0,2
"10/28/2024, 08:00:00 PM",16,0,0,2,0,0,0,0,0,3,,,,,,,,,,,8,0,0,0,0,0,0,0,0,6,17,0,0,0,0,0,0,0,0,4
